

Expanded question: ' When did Trader Joe's open its first store?'
Question: When did Trader Joe's open its first store?
10.47512435913086	The first Trader Joe's store was opened in 1967 by founder Joe Coulombe in Pasadena, California.	<--The first Trader Joe's store was opened in 1967 by founder Joe Coulombe in Pasadena, California.	N/A	Q_3358_0
10.460614204406738	The first store branded as "Trader Joe's" opened in 1967.	<--The first store branded as "Trader Joe's" opened in 1967.	wiki_3097278_13	Q_3358_0
9.085504531860352	In 1976, Aldi opened its first store in the United States in Iowa, and, in 1979, Aldi Nord acquired Trader Joes.	<--In 1976, Aldi opened its first store in the United States in Iowa, and, in 1979, Aldi Nord acquired Trader Joes.	wiki_719504_28	Q_3358_0
8.164409637451172	Trader JoeÃ¢  s, which began in California as a convenience store that started selling wine, did not open its first store in Utah until 2012.	<--Trader JoeÃ¢  s, which began in California as a convenience store that started selling wine, did not open its first store in Utah until 2012.	wiki_1265449_59	Q_3358_0
7.756201267242432	In 1940 the first franchised Trader Vic's opened in Seattle, Washington.	<--In 1940 the first franchised Trader Vic's opened in Seattle, Washington.	wiki_2153079_9	Q_3358_0
7.750847816467285	Trader Joe's opened a store in one of the mall's outparcels (252 N. Lee Blvd) in Spring 2012.	<--Trader Joe's opened a store in one of the mall's outparcels (252 N. Lee Blvd) in Spring 2012.	wiki_4694942_16	Q_3358_0
7.545354843139648	The first store opened in June 2010 and the second in October 2010.	<--The first store opened in June 2010 and the second in October 2010.	wiki_3072625_57	Q_3358_0
7.379101276397705	The first store was opened in October 2015.	<--The first store was opened in October 2015.	wiki_3111274_130	Q_3358_0
7.274396896362305	After running the store for a few years, Joe opened his first supermarket across the street from the original butcher shop in 1933.	<--After running the store for a few years, Joe opened his first supermarket across the street from the original butcher shop in 1933.	wiki_4900691_3	Q_3358_0
7.056859970092773	In September 2011 Trader Joe's stated that it was considering opening its first Greater Houston location in the Alabama Theatre.	<--In September 2011 Trader Joe's stated that it was considering opening its first Greater Houston location in the Alabama Theatre.	wiki_1294358_23	Q_3358_0
6.9187445640563965	The first store opened in 1979 and the 5,000th store was opened in July 2014.	<--The first store opened in 1979 and the 5,000th store was opened in July 2014.	wiki_3111274_115	Q_3358_0
6.913614273071289	On August 22, 2012, after two years of market and distribution logistics research, the company opened its first store outside the Greater Cleveland area in The Shops at Flint Creek in Barrington, Illinois, a suburb of Chicago.	<--On August 22, 2012, after two years of market and distribution logistics research, the company opened its first store outside the Greater Cleveland area in The Shops at Flint Creek in Barrington, Illinois, a suburb of Chicago.	wiki_4900691_5	Q_3358_0
6.911477088928223	G.I. Joe's opened its eighth store, located in Eugene, Oregon, in 1983.	<--G.I. Joe's opened its eighth store, located in Eugene, Oregon, in 1983.	wiki_2590472_12	Q_3358_0
6.901806831359863	The first store was built in 1848.	<--The first store was built in 1848.	wiki_2120960_8	Q_3358_0
6.858438491821289	The company opened its first retail store, 84 Plus, in 1999.	<--The company opened its first retail store, 84 Plus, in 1999.	wiki_4653909_22	Q_3358_0
6.743176460266113	The first store opened on June 22, 2006, at 6:30Ã  am in the suburb of Narre Warren at Fountain Gate Shopping Centre, and features a 24-hour drive-through service.	<--The first store opened on June 22, 2006, at 6:30Ã  am in the suburb of Narre Warren at Fountain Gate Shopping Centre, and features a 24-hour drive-through service.	wiki_123109_28	Q_3358_0
6.72852897644043	He founded the grocery store chain Trader Joe's in 1967.	<--He founded the grocery store chain Trader Joe's in 1967.	wiki_287044_2	Q_3358_0
6.673084259033203	After the opening of its first store in 1982, following the 10-year anniversary, the company began a rapid expansion by adding 10 additional stores in just as many years.	<--After the opening of its first store in 1982, following the 10-year anniversary, the company began a rapid expansion by adding 10 additional stores in just as many years.	wiki_2780897_10	Q_3358_0
6.466775417327881	New York City's first permanent Joe Fresh store, located in Manhattan's Flatiron District, opened in November 2011.	<--New York City's first permanent Joe Fresh store, located in Manhattan's Flatiron District, opened in November 2011.	wiki_2933913_76	Q_3358_0
