

Expanded question: ' What faction of Liberal Party Peter Dutton leads?'
Question: What faction of Liberal Party Peter Dutton leads?
9.070777893066406	Peter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.	<--Peter Dutton is aligned with the "National Right" faction of the Liberal Party, which he leads.	N/A	Q_4597_0
7.572954177856445	Ideological rift The ruling Liberal Party is primarily split between two ideological factions -- a moderate, pro-business grouping led by Turnbull and a large conservative faction, partially led by Dutton.	<--Ideological rift The ruling Liberal Party is primarily split between two ideological factions -- a moderate, pro-business grouping led by Turnbull and a large conservative faction, partially led by Dutton.	news_1294737_14	Q_4597_0
6.454758644104004	Polling has repeatedly found Dutton is one of the least popular options to lead the Liberal Party, behind Turnbull, Abbott and Foreign Minister Julie Bishop.	<--Polling has repeatedly found Dutton is one of the least popular options to lead the Liberal Party, behind Turnbull, Abbott and Foreign Minister Julie Bishop.	news_1291709_31	Q_4597_0
6.438788890838623	Dutton is seen as being a champion of the right-wing, conservative faction of the Liberals.	<--Dutton is seen as being a champion of the right-wing, conservative faction of the Liberals.	wiki_2165556_135	Q_4597_0
6.3623528480529785	Read More Home Affairs Minister Peter Dutton, a high-profile member of the party's conservative faction, put his hand up but was defeated by Turnbull 48 to 35.	<--Read More Home Affairs Minister Peter Dutton, a high-profile member of the party's conservative faction, put his hand up but was defeated by Turnbull 48 to 35.	news_1291709_10	Q_4597_0
6.306378364562988	Bevan Shields (@BevanShields) August 24, 2018 Dutton, a leader in the party's conservative faction, stood against Turnbull for the leadership in a vote on Tuesday, losing 48 votes to 35, and all but guaranteeing a second vote.	<--Bevan Shields (@BevanShields) August 24, 2018 Dutton, a leader in the party's conservative faction, stood against Turnbull for the leadership in a vote on Tuesday, losing 48 votes to 35, and all but guaranteeing a second vote.	news_1298492_16	Q_4597_0
6.28034782409668	Dutton, 47, a leader in the party's conservative faction, only narrowly lost a leadership contest against Turnbull and now looks likely to mount another attempt, possibly as early as Thursday.	<--Dutton, 47, a leader in the party's conservative faction, only narrowly lost a leadership contest against Turnbull and now looks likely to mount another attempt, possibly as early as Thursday.	news_1294737_6	Q_4597_0
6.1860270500183105	Dutton, a high-profile member of the party's conservative faction, was narrowly defeated by Turnbull 48 to 35 but with only seven votes between them, it made a second challenge likely.	<--Dutton, a high-profile member of the party's conservative faction, was narrowly defeated by Turnbull 48 to 35 but with only seven votes between them, it made a second challenge likely.	news_1295791_5	Q_4597_0
6.119982719421387	The main challenger to Turnbull, former home affairs minister and factional conservative Peter Dutton , was defeated by Morrison 45 votes to 40 in a closed door leadership ballot shortly after midday local time, the party's whip Nola Marino announced.	<--The main challenger to Turnbull, former home affairs minister and factional conservative Peter Dutton , was defeated by Morrison 45 votes to 40 in a closed door leadership ballot shortly after midday local time, the party's whip Nola Marino announced.	news_1298492_2	Q_4597_0
6.085955619812012	The party's right wing is now looking to install a leader from within their own faction, with Dutton emerging as the clear front runner.	<--The party's right wing is now looking to install a leader from within their own faction, with Dutton emerging as the clear front runner.	news_1294737_20	Q_4597_0
6.037224769592285	Peter Dutton, Turnbull s former home affairs minister, is expected to make his own bid to lead the conservative Liberal Party in the coming days.	<--Peter Dutton, Turnbull s former home affairs minister, is expected to make his own bid to lead the conservative Liberal Party in the coming days.	news_1297001_3	Q_4597_0
