

Expanded question: ' What position Steve Bullock had worked in 1996?'
Question: What position Steve Bullock had worked in 1996?
8.243512153625488	In 1996, Steve Bullock served as chief legal counsel to Montana Secretary of State Mike Cooney.	<--In 1996, Steve Bullock served as chief legal counsel to Montana Secretary of State Mike Cooney.	N/A	Q_6437_0
3.937213659286499	Bullock began his career working as the legal counsel to the Secretary of State of Montana before becoming the Executive Assistant Attorney General and acting Chief Deputy Attorney General of Montana.	<--Bullock began his career working as the legal counsel to the Secretary of State of Montana before becoming the Executive Assistant Attorney General and acting Chief Deputy Attorney General of Montana.	wiki_1292280_3	Q_6437_0
3.908374547958374	Bullock was appointed the worship pastor for Hillsong Church in Sydney and was the convenor of their annual conferences from 1987 to 1995.	<--Bullock was appointed the worship pastor for Hillsong Church in Sydney and was the convenor of their annual conferences from 1987 to 1995.	wiki_2135332_17	Q_6437_0
3.8696413040161133	In 1996, AT&amp;T Bell Labs became Lucent Technologies, and Bullock joined Medtronic, Inc. to develop lithium batteries for use in medical devices.	<--In 1996, AT&amp;T Bell Labs became Lucent Technologies, and Bullock joined Medtronic, Inc. to develop lithium batteries for use in medical devices.	wiki_3668987_42	Q_6437_0
3.831998825073242	Whilst with Barnsley, Bullock won a cap for the England under-21 side in 1996.	<--Whilst with Barnsley, Bullock won a cap for the England under-21 side in 1996.	wiki_130555_37	Q_6437_0
3.7101101875305176	Bullock worked as an excise officer for the British government.	<--Bullock worked as an excise officer for the British government.	wiki_1347482_3	Q_6437_0
3.4181158542633057	Bullock was competing with veteran Shayne Graham for the placekicker position.	<--Bullock was competing with veteran Shayne Graham for the placekicker position.	wiki_1483888_21	Q_6437_0
3.3662943840026855	Bullock was a pastor at the Hillsong Conference in July 1995.	<--Bullock was a pastor at the Hillsong Conference in July 1995.	wiki_2135332_20	Q_6437_0
3.247549533843994	Bullock began his career working in the House of Commons for former MPs Andrew Stewart and Sir Richard Ottaway.	<--Bullock began his career working in the House of Commons for former MPs Andrew Stewart and Sir Richard Ottaway.	wiki_29287_8	Q_6437_0
3.1009483337402344	After a stint as an assistant attorney general and in the private practice of law, Bullock returned to public life when he was appointed secretary of state, the state's chief elections and records officer, by Governor Preston Smith.	<--After a stint as an assistant attorney general and in the private practice of law, Bullock returned to public life when he was appointed secretary of state, the state's chief elections and records officer, by Governor Preston Smith.	wiki_3834034_4	Q_6437_0
2.9873805046081543	During his one-year employment with Dabel Brothers Productions, Bullock performed the duties of PR Director, as well as Editor on DBPro's original series, "Imperial Dragons", and Dreamwave's "Warlands".	<--During his one-year employment with Dabel Brothers Productions, Bullock performed the duties of PR Director, as well as Editor on DBPro's original series, "Imperial Dragons", and Dreamwave's "Warlands".	wiki_795582_9	Q_6437_0
2.8935463428497314	From 1949 to 1999, Bullock was the primary adviser for 36 graduating PhD students (17 at Scripps), and in 1982 he retired as a Professor Emeritus.	<--From 1949 to 1999, Bullock was the primary adviser for 36 graduating PhD students (17 at Scripps), and in 1982 he retired as a Professor Emeritus.	wiki_2835764_47	Q_6437_0
2.807950973510742	Elected to the London Borough of Lewisham council in 1982, Bullock then went on to serve as Chair of Finance, Chair of Leisure, Deputy Leader, and Leader of the Council prior to standing down from the council in 1998.	<--Elected to the London Borough of Lewisham council in 1982, Bullock then went on to serve as Chair of Finance, Chair of Leisure, Deputy Leader, and Leader of the Council prior to standing down from the council in 1998.	wiki_559525_4	Q_6437_0
2.7403218746185303	Bullock has served in multiple positions in The Church of Jesus Christ of Latter-day Saints (LDS Church) including as an area seventy.	<--Bullock has served in multiple positions in The Church of Jesus Christ of Latter-day Saints (LDS Church) including as an area seventy.	wiki_326083_5	Q_6437_0
2.5648608207702637	Bullock was also recently elected chairman of the National Governors Association, a position that could help him further make the case that he is a bipartisan pragmatist.	<--Bullock was also recently elected chairman of the National Governors Association, a position that could help him further make the case that he is a bipartisan pragmatist.	news_1289159_10	Q_6437_0
2.5251781940460205	During World War II, Bullock worked for the European Service of the British Broadcasting Corporation (BBC).	<--During World War II, Bullock worked for the European Service of the British Broadcasting Corporation (BBC).	wiki_2024625_6	Q_6437_0
2.4260754585266113	Bullock served in the church as a Seventy and in a variety of secretarial positions.	<--Bullock served in the church as a Seventy and in a variety of secretarial positions.	wiki_1347482_15	Q_6437_0
2.3571200370788574	Bullock served as chief legal counsel to Montana Secretary of State Mike Cooney.	<--Bullock served as chief legal counsel to Montana Secretary of State Mike Cooney.	wiki_1292280_16	Q_6437_0
2.3102519512176514	The couple met when Bullock was working for Hall as a political staffer.	<--The couple met when Bullock was working for Hall as a political staffer.	wiki_2139231_4	Q_6437_0
2.2572991847991943	Bullock moved to Western Australia and became Assistant Secretary of the Shop, Distributive and Allied Employees Association (SDA) in 1986.	<--Bullock moved to Western Australia and became Assistant Secretary of the Shop, Distributive and Allied Employees Association (SDA) in 1986.	wiki_3595385_5	Q_6437_0
2.079249858856201	Steve Bullock is the Democratic governor of Montana and vice chairman of the association.	<--Steve Bullock is the Democratic governor of Montana and vice chairman of the association.	news_810969_50	Q_6437_0
2.0118155479431152	He became Western Australian state secretary of the union in 1996.	<--He became Western Australian state secretary of the union in 1996.	wiki_3595385_6	Q_6437_0
1.9708045721054077	Bullock was manager for 148 league matches, of which Halifax won 39, drew 46 and lost 63; their highest finishing position was 11th in the Fourth Division in the 1982̢  83 season.	<--Bullock was manager for 148 league matches, of which Halifax won 39, drew 46 and lost 63; their highest finishing position was 11th in the Fourth Division in the 1982̢  83 season.	wiki_2496753_4	Q_6437_0
1.886696696281433	Bullock was among the founding members of Bain Capital and also worked at Bain &amp; Company.	<--Bullock was among the founding members of Bain Capital and also worked at Bain &amp; Company.	wiki_326083_4	Q_6437_0
1.8335354328155518	Bullock also sent a staffer to Iowa to work for Tim Gannon, who lost his race for state agriculture secretary last week, a move aimed at giving Bullock an early foothold in the crucial caucus state.	<--Bullock also sent a staffer to Iowa to work for Tim Gannon, who lost his race for state agriculture secretary last week, a move aimed at giving Bullock an early foothold in the crucial caucus state.	news_1448957_38	Q_6437_0
1.7988591194152832	During his four years at Yale, Bullock worked at the Marine Biological Laboratory (MBL) at Woods Hole during the summers.	<--During his four years at Yale, Bullock worked at the Marine Biological Laboratory (MBL) at Woods Hole during the summers.	wiki_2835764_27	Q_6437_0
1.6893525123596191	Raised in Helena, Bullock returned home to work in the government following his graduation from Columbia Law School in 1994, but he moved back east to Washington for a job in private practice and a teaching gig at George Washington University Law School after falling short in his first run for Montana attorney general, in 2000.	<--Raised in Helena, Bullock returned home to work in the government following his graduation from Columbia Law School in 1994, but he moved back east to Washington for a job in private practice and a teaching gig at George Washington University Law School after falling short in his first run for Montana attorney general, in 2000.	news_704858_102	Q_6437_0
1.601422667503357	Upon returning to DC in 1995, Bullock formed the death metal band Scab.	<--Upon returning to DC in 1995, Bullock formed the death metal band Scab.	wiki_795582_49	Q_6437_0
1.5368925333023071	In local work, Bullock was president of the Anchorage, in which many a fallen girl has become a self-respecting woman and a useful member of society.	<--In local work, Bullock was president of the Anchorage, in which many a fallen girl has become a self-respecting woman and a useful member of society.	wiki_4792029_55	Q_6437_0
1.5217336416244507	Serving as Texas' 38th Lieutenant Governor, Bullock favored a hands-on management style that he carried onto the lieutenant governor's office and resulted in numerous achievements as the presiding officer of the Texas Senate.	<--Serving as Texas' 38th Lieutenant Governor, Bullock favored a hands-on management style that he carried onto the lieutenant governor's office and resulted in numerous achievements as the presiding officer of the Texas Senate.	wiki_3834034_35	Q_6437_0
1.4950419664382935	Cooney had known and worked with Bullock for over 20 years; Bullock had served as chief legal counsel for Cooney when Cooney was Secretary of State.	<--Cooney had known and worked with Bullock for over 20 years; Bullock had served as chief legal counsel for Cooney when Cooney was Secretary of State.	wiki_5249607_79	Q_6437_0
1.3715267181396484	Prior to developing his writing career, Bullock sang and played guitar in several extreme metal bands from 1986 to 1997.	<--Prior to developing his writing career, Bullock sang and played guitar in several extreme metal bands from 1986 to 1997.	wiki_795582_44	Q_6437_0
1.3271008729934692	In 1944 Bullock accepted a faculty position at the University of Missouri, where he taught medical students anatomy and physiology.	<--In 1944 Bullock accepted a faculty position at the University of Missouri, where he taught medical students anatomy and physiology.	wiki_2835764_30	Q_6437_0
1.2059447765350342	Bullock began his career in public service as a member of the Texas House of Representatives in the 1960s.	<--Bullock began his career in public service as a member of the Texas House of Representatives in the 1960s.	wiki_3834034_3	Q_6437_0
1.198655605316162	Throughout his career, Bullock was an active lecturer, workshop leader and teacher, giving of himself to fellow seekers.	<--Throughout his career, Bullock was an active lecturer, workshop leader and teacher, giving of himself to fellow seekers.	wiki_1983230_49	Q_6437_0
